"sgRNA","gene","plasmid","Essential_Number","Essential_Names"
"PAFAH1B1_CCDS32528.1_ex4_17:2573565-2573588:+_5-4","PAFAH1B1",76,1,HT29_c907
"PCNA_CCDS13087.1_ex4_20:5099460-5099483:-_5-4","PCNA",30,4,c("HT29_c905", "HT29_c906", "HT29_c907", "HT29_c908")
"PHF5A_CCDS14016.1_ex1_22:41863539-41863562:-_5-4","PHF5A",117,2,c("HT29_c907", "SW626_c905")
"PLEC_CCDS43769.1_ex24_8:145009223-145009246:+_5-4","PLEC",12,1,HT29_c905
"PLK4_CCDS3735.1_ex4_4:128806908-128806931:+_5-1","PLK4",242,1,HT29_c907
"POLA1_CCDS14214.1_ex11_X:24742449-24742472:+_5-3","POLA1",119,1,HT29_c908
"POLE2_CCDS32073.1_ex9_14:50130026-50130049:+_5-1","POLE2",12,3,c("HT29_c906", "HT29_c907", "HT29_c908")
"POLR2B_CCDS3511.1_ex7_4:57871595-57871618:-_5-3","POLR2B",70,1,HT29_c908
"POLR2H_CCDS3264.1_ex3_3:184084511-184084534:+_9-6","POLR2H",45,2,c("HT29_c906", "HT29_c907")
"POLR3F_CCDS13135.1_ex2_20:18453494-18453517:+_5-2","POLR3F",138,1,HT29_c907
"PSMA2_CCDS5467.1_ex4_7:42964272-42964295:-_5-1","PSMA2",112,1,HT29_c908
"PSMA2_CCDS5467.1_ex5_7:42966123-42966146:+_5-2","PSMA2",30,2,c("HT29_c905", "HT29_c907")
"PSMA3_CCDS45113.1_ex2_14:58718893-58718916:-_5-1","PSMA3",25,3,c("HT29_c906", "HT29_c907", "SW626_c905")
"PSMA5_CCDS55619.1_ex3_1:109954527-109954550:+_5-2","PSMA5",44,1,SW626_c905
"PSMB6_CCDS11056.1_ex3_17:4701018-4701041:-_5-3","PSMB6",68,1,HT29_c906
"PSMC6_CCDS9710.2_ex5_14:53178220-53178243:+_5-4","PSMC6",265,1,HT29_c907
"PSMD6_CCDS2901.1_ex5_3:64005025-64005048:-_5-2","PSMD6",58,2,c("HT29_c906", "HT29_c907")
"PUF60_CCDS47933.1_ex5_8:144900425-144900448:+_5-4","PUF60",513,1,HT29_c907
"PUS7_CCDS34725.1_ex10_7:105135634-105135657:+_5-2","PUS7",20,1,SW626_c905
"RABGGTB_CCDS669.1_ex6_1:76257943-76257966:+_5-5","RABGGTB",140,1,HT29_c907
"RAN_CCDS9271.1_ex2_12:131357655-131357678:+_5-3","RAN",206,1,HT29_c908
"RAN_CCDS9271.1_ex3_12:131359207-131359230:+_5-5","RAN",236,2,c("HT29_c906", "HT29_c907")
"RBX1_CCDS14009.1_ex1_22:41349620-41349643:-_5-3","RBX1",96,1,HT29_c907
"RCOR1_CCDS9974.2_ex0_14:103059506-103059529:+_5-2","RCOR1",14,1,SW626_c905
"RDX_CCDS58172.1_ex6_11:110126092-110126115:-_19-11","RDX",10,2,c("HT29_c905", "HT29_c906")
"RPL3_CCDS13988.1_ex7_22:39713464-39713487:-_5-1","RPL3",94,1,HT29_c908
"RPS15A_CCDS10571.1_ex2_16:18799454-18799477:-_5-3","RPS15A",53,1,SW626_c905
"RRAGD_CCDS5022.1_ex4_6:90089986-90090009:-_5-2","RRAGD",13,1,HT29_c908
"RRM2_CCDS1669.1_ex6_2:10267258-10267281:-_5-5","RRM2",251,1,HT29_c908
"SCD_CCDS7493.1_ex1_10:102108050-102108073:-_5-3","SCD",246,1,HT29_c906
"sgACTR8_3","ACTR8_LS",35,1,HT29_c906
"sgAURKA_8","AURKA_LS",130,1,HT29_c908
"sgBUD31_2","BUD31_LS",185,1,HT29_c907
"sgCDCA8_4","CDCA8_LS",290,1,HT29_c907
"sgCLP1_9","CLP1_LS",115,2,c("HT29_c906", "HT29_c907")
"sgDUT_3","DUT_LS",413,1,HT29_c907
"sgGINS1_10","GINS1_LS",345,1,HT29_c907
"sgKIN_5","KIN_LS",345,1,HT29_c907
"sgLSM7_3","LSM7_LS",288,1,HT29_c907
"sgMAD2L1_4","MAD2L1_LS",306,1,HT29_c907
"sgMAD2L1_9","MAD2L1_LS",93,1,SW626_c905
"sgMCM6_9","MCM6_LS",19,1,HT29_c907
"sgMYC_2","MYC_LS",12,4,c("HT29_c906", "HT29_c907", "HT29_c908", "SW626_c905")
"sgNDC80_6","NDC80_LS",176,1,SW626_c905
"sgPAFAH1B1_2","PAFAH1B1_LS",263,1,HT29_c906
"sgPAFAH1B1_4","PAFAH1B1_LS",288,1,HT29_c907
"sgPOLE2_6","POLE2_LS",106,1,HT29_c906
"sgPPIA_7","PPIA_LS",291,1,HT29_c907
"sgPSMA3_8","PSMA3_LS",271,1,SW626_c905
"sgPSMB3_8","PSMB3_LS",447,1,HT29_c907
"sgPSMB6_8","PSMB6_LS",455,1,HT29_c907
"sgPSMC6_4","PSMC6_LS",124,2,c("HT29_c906", "SW626_c905")
"sgPSMD6_3","PSMD6_LS",17,5,c("HT29_c905", "HT29_c906", "HT29_c907", "HT29_c908", "SW626_c905")
"sgRPL12_9","RPL12_LS",180,1,HT29_c907
"sgRPL17_6","RPL17_LS",130,1,HT29_c907
"sgRPL23A_8","RPL23A_LS",146,1,HT29_c906
"sgRPL26_9","RPL26_LS",300,1,HT29_c907
"sgRPL7A_10","RPL7A_LS",262,1,HT29_c907
"sgRPS19_9","RPS19_LS",361,1,HT29_c907
"sgRPS3A_5","RPS3A_LS",255,1,HT29_c907
"sgRPS6_8","RPS6_LS",137,1,HT29_c905
"sgRRM2_3","RRM2_LS",460,1,HT29_c907
"sgSETD8_7","SETD8_LS",167,1,HT29_c908
"sgSF3A1_10","SF3A1_LS",280,1,HT29_c907
"sgSNRNP200_1","SNRNP200_LS",392,1,HT29_c907
"sgSNRPF_9","SNRPF_LS",127,1,HT29_c906
"sgSPC25_6","SPC25_LS",142,1,HT29_c907
"sgSPC25_7","SPC25_LS",195,1,HT29_c907
"sgSRSF2_4","SRSF2_LS",218,1,HT29_c907
"sgSRSF3_3","SRSF3_LS",21,1,HT29_c907
"sgSRSF3_9","SRSF3_LS",260,1,HT29_c907
"sgWRNIP1_5","WRNIP1_LS",11,1,HT29_c907
"SLBP_CCDS3350.1_ex3_4:1701289-1701312:-_5-2","SLBP",66,1,HT29_c908
"SLC37A1_CCDS13689.1_ex4_21:43959639-43959662:-_5-1","SLC37A1",18,1,HT29_c908
"SMC4_CCDS3189.1_ex1_3:160119800-160119823:-_5-1","SMC4",289,1,HT29_c907
"SNAPC1_CCDS9755.1_ex1_14:62233693-62233716:+_5-2","SNAPC1",250,1,HT29_c907
"SNRPA1_CCDS10391.1_ex4_15:101827198-101827221:-_5-1","SNRPA1",113,2,c("HT29_c905", "HT29_c906")
"SNRPF_CCDS9055.1_ex2_12:96259107-96259130:+_5-4","SNRPF",15,4,c("HT29_c905", "HT29_c906", "HT29_c908", "SW626_c905")
"SOX30_CCDS4339.1_ex4_5:157078882-157078905:-_5-5","SOX30",50,1,HT29_c907
"SRSF3_CCDS4823.1_ex1_6:36566644-36566667:+_5-3","SRSF3",345,1,HT29_c907
"SRSF3_CCDS4823.1_ex1_6:36566746-36566769:-_5-5","SRSF3",15,1,HT29_c907
"SSU72_CCDS32.1_ex2_1:1480324-1480347:-_5-1","SSU72",220,1,HT29_c907
"STX5_CCDS58140.1_ex6_11:62594625-62594648:-_5-1","STX5",88,1,HT29_c907
"STYX_CCDS9711.1_ex4_14:53223296-53223319:-_5-3","STYX",18,1,HT29_c907
"TAF1D_CCDS8293.1_ex3_11:93471401-93471424:-_5-2","TAF1D",10,1,SW626_c905
"TAP1_CCDS4758.1_ex10_6:32821449-32821472:+_5-5","TAP1",72,1,HT29_c908
"TMEM243_CCDS5602.1_ex2_7:86828313-86828336:+_5-5","TMEM243",20,1,SW626_c905
"TMEM68_CCDS6161.1_ex3_8:56675301-56675324:+_5-5","TMEM68",12,1,SW626_c905
"TNPO1_CCDS4016.1_ex8_5:72178337-72178360:+_5-3","TNPO1",17,1,HT29_c907
"TOP2A_CCDS45672.1_ex21_17:38563071-38563094:+_5-1","TOP2A",120,1,HT29_c908
"TSG101_CCDS7842.1_ex5_11:18531132-18531155:+_5-3","TSG101",12,1,SW626_c905
"TXNL4A_CCDS32852.1_ex2_18:77748268-77748291:-_5-4","TXNL4A",501,1,HT29_c907
"UBE2QL1_CCDS47189.1_ex0_5:6449191-6449214:-_5-2","UBE2QL1",10,1,SW626_c905
"VPS25_CCDS11438.1_ex2_17:40926685-40926708:-_5-2","VPS25",138,1,HT29_c907
